symbol,name,price,peRatio,volume,change1M,change3M,change6M,change1Y
AAPL,Apple Inc.,255.58999633789062,42.03783,42317100,11.99,13.02,45.29,32.68
T,AT&T Inc.,22.860000610351562,18.585365,18543600,2.74,18.49,44.09,45.02
GOOG,Alphabet Inc.,194.0399932861328,25.70066,14683000,9.53,16.04,22.33,37.84
MO,"Altria Group, Inc.",52.380001068115234,8.847973,6420700,-3.6,5.09,35.54,41.56
AA,Alcoa Corporation,37.68000030517578,N/A,1924400,-8.57,13.46,7.92,10.35
AXP,American Express Company,301.04998779296875,22.168629,1676000,4.42,22.55,38.74,62.22
BABA,Alibaba Group Holding Limited,85.05999755859375,17.647303,8624200,-6.09,1.83,21.91,12.52
ABT,Abbott Laboratories,114.98999786376953,34.951366,2829500,-0.03,3.72,6.45,6.24
AMAT,"Applied Materials, Inc.",166.8300018310547,19.376308,3598000,-10.31,-20.07,-19.44,2.83
AMGN,Amgen Inc.,262.6499938964844,33.54406,2157400,-11.25,-20.2,-0.35,-6.94
AIG,"American International Group, I",73.0,14.512922,2488700,-3.1,-0.73,0.72,9.86
ALL,Allstate Corporation (The),193.8000030517578,12.5274725,1094400,-0.57,9.38,17.93,41.51
ADBE,Adobe Inc.,446.4800109863281,36.093777,2944700,-15.74,-21.09,-5.82,-25.03
GOOGL,Alphabet Inc.,192.75999450683594,25.564985,18868900,9.91,16.51,22.65,37.96
ACN,Accenture plc,356.17999267578125,29.855824,1195700,-1.63,7.2,13.89,2.93
ABBV,AbbVie Inc.,178.00999450683594,62.02439,2744100,4.94,-8.7,11.58,19.24
MT,Arcelor Mittal NY Registry Shar,23.139999389648438,N/A,1187100,-5.51,-1.11,-13.2,-18.27
LLY,Eli Lilly and Company,783.1699829101562,84.75866,2096000,-0.39,-17.73,4.52,35.49
APA,APA Corporation,22.09000015258789,3.1377842,3859300,-2.26,-20.48,-32.79,-36.71
ADP,"Automatic Data Processing, Inc.",296.17999267578125,31.643164,1332000,-1.42,11.71,23.41,30.19
AKAM,"Akamai Technologies, Inc.",96.97000122070312,28.689348,724900,9.76,-5.03,-6.28,-18.53
